timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1490129761722,197,HTTP Request - discount,200,OK,Thread Group -100 1-18,text,true,,236,248,83,83,197,0,95
1490129761814,202,HTTP Request - discount,200,OK,Thread Group -100 1-19,text,true,,237,248,82,82,202,0,96
1490129761899,214,HTTP Request - discount,200,OK,Thread Group -100 1-20,text,true,,237,249,81,81,214,0,102
1490129761992,202,HTTP Request - discount,200,OK,Thread Group -100 1-21,text,true,,237,248,80,80,202,0,94
1490129762105,213,HTTP Request - discount,200,OK,Thread Group -100 1-22,text,true,,237,249,79,79,213,0,101
1490129762199,199,HTTP Request - discount,200,OK,Thread Group -100 1-23,text,true,,237,249,78,78,199,0,96
1490129762305,221,HTTP Request - discount,200,OK,Thread Group -100 1-24,text,true,,236,250,77,77,221,0,102
1490129762418,193,HTTP Request - discount,200,OK,Thread Group -100 1-25,text,true,,236,247,76,76,193,0,92
1490129762499,225,HTTP Request - discount,200,OK,Thread Group -100 1-26,text,true,,236,248,75,75,225,0,104
1490129762598,213,HTTP Request - discount,200,OK,Thread Group -100 1-27,text,true,,237,248,74,74,213,0,101
1490129762716,199,HTTP Request - discount,200,OK,Thread Group -100 1-28,text,true,,237,249,73,73,199,0,94
